Date,Production_Line,Shift,Production_Volume,Planned_Production,Downtime_Hours,Defect_Count,OEE_Percent,Defect_Rate_Percent,Throughput_Efficiency_Percent
2026-02-05,LINE-A,Night,1002,1183,0.71,42,73.94,4.19,84.7
2026-02-05,LINE-B,Morning,1079,1097,1.9,15,73.96,1.39,98.36
2026-02-05,LINE-B,Afternoon,1039,1143,2.51,10,61.78,0.96,90.9
2026-02-05,LINE-B,Night,1148,1258,1.77,40,68.6,3.48,91.26
2026-02-05,LINE-C,Morning,1145,1146,1.05,11,85.97,0.96,99.91
2026-02-05,LINE-C,Afternoon,1107,1127,1.55,44,76.05,3.97,98.23
2026-02-05,LINE-C,Night,928,1266,1.02,29,61.96,3.12,73.3
2026-02-05,LINE-D,Morning,950,1297,0.77,20,64.81,2.11,73.25
2026-02-05,LINE-D,Afternoon,1145,1111,1.67,6,81.12,0.52,103.06
2026-02-05,LINE-D,Night,1184,1253,2.69,41,60.55,3.46,94.49
2026-02-06,LINE-A,Morning,959,1008,0.84,23,83.11,2.4,95.14
2026-02-06,LINE-A,Afternoon,1103,1207,2.69,28,59.12,2.54,91.38
2026-02-06,LINE-A,Night,853,1119,2.66,15,49.99,1.76,76.23
2026-02-06,LINE-B,Morning,912,1103,1.82,39,61.14,4.28,82.68
2026-02-06,LINE-B,Afternoon,911,1098,2.92,22,51.42,2.41,82.97
2026-02-06,LINE-B,Night,1183,1193,2.08,20,72.14,1.69,99.16
2026-02-06,LINE-C,Morning,968,1160,0.05,18,81.39,1.86,83.45
2026-02-06,LINE-C,Afternoon,1076,1134,2.16,37,66.89,3.44,94.89
2026-02-06,LINE-C,Night,975,1021,0.73,42,83.04,4.31,95.49
2026-02-06,LINE-D,Morning,1029,1050,2.68,31,63.21,3.01,98.0
2026-02-06,LINE-D,Afternoon,826,1225,1.05,37,55.96,4.48,67.43
2026-02-06,LINE-D,Night,1083,1146,1.72,21,72.74,1.94,94.5
2026-02-07,LINE-A,Morning,971,1219,1.41,10,64.95,1.03,79.66
2026-02-07,LINE-A,Afternoon,898,1232,2.86,33,45.11,3.67,72.89
2026-02-07,LINE-A,Night,1101,1180,1.72,37,70.79,3.36,93.31
2026-02-07,LINE-B,Morning,915,1190,0.92,36,65.37,3.93,76.89
2026-02-07,LINE-B,Afternoon,960,1255,1.46,22,61.1,2.29,76.49
2026-02-07,LINE-B,Night,1080,1222,2.53,7,60.04,0.65,88.38
2026-02-07,LINE-C,Morning,1159,1173,0.29,36,92.27,3.11,98.81
2026-02-07,LINE-C,Afternoon,1141,1150,0.42,31,91.45,2.72,99.22
2026-02-07,LINE-C,Night,1185,1272,2.55,13,62.76,1.1,93.16
2026-02-07,LINE-D,Morning,1098,1245,1.08,33,73.99,3.01,88.19
2026-02-07,LINE-D,Afternoon,969,1246,1.26,29,63.56,2.99,77.77
2026-02-07,LINE-D,Night,812,1035,2.39,5,54.67,0.62,78.45
2026-02-08,LINE-A,Morning,1063,1141,2.67,27,60.49,2.54,93.16
2026-02-08,LINE-A,Afternoon,942,1091,1.74,36,64.98,3.82,86.34
2026-02-08,LINE-A,Night,1014,1050,1.4,26,77.63,2.56,96.57
2026-02-08,LINE-B,Morning,1113,1057,0.09,46,99.82,4.13,105.3
2026-02-08,LINE-B,Afternoon,1125,1270,1.08,41,73.83,3.64,88.58
2026-02-08,LINE-B,Night,1063,1052,0.81,48,86.72,4.52,101.05
2026-02-08,LINE-C,Morning,804,1102,0.26,49,66.29,6.09,72.96
2026-02-08,LINE-C,Afternoon,1171,1046,2.1,44,79.46,3.76,111.95
2026-02-08,LINE-C,Night,1107,1143,2.93,46,58.83,4.16,96.85
2026-02-08,LINE-D,Morning,957,1146,2.39,23,57.15,2.4,83.51
2026-02-08,LINE-D,Afternoon,891,1057,0.24,41,78.01,4.6,84.3
2026-02-08,LINE-D,Night,916,1278,1.28,16,59.15,1.75,71.67
2026-02-09,LINE-A,Morning,928,1057,2.75,38,55.26,4.09,87.8
2026-02-09,LINE-A,Afternoon,895,1125,0.28,29,74.29,3.24,79.56
2026-02-09,LINE-A,Night,1036,1271,1.55,9,65.14,0.87,81.51
2026-02-09,LINE-B,Morning,1077,1246,0.14,30,82.56,2.79,86.44
2026-02-09,LINE-B,Afternoon,943,1085,0.04,18,84.82,1.91,86.91
2026-02-09,LINE-B,Night,1019,1068,0.28,34,89.0,3.34,95.41
2026-02-09,LINE-C,Morning,1037,1203,0.05,30,83.19,2.89,86.2
2026-02-09,LINE-C,Afternoon,1140,1038,1.04,34,92.7,2.98,109.83
2026-02-09,LINE-C,Night,1156,1022,0.14,9,110.26,0.78,113.11
2026-02-09,LINE-D,Morning,899,1289,0.78,14,61.96,1.56,69.74
2026-02-09,LINE-D,Afternoon,1049,1146,1.51,5,73.9,0.48,91.54
2026-02-09,LINE-D,Night,1124,1003,1.85,20,84.62,1.78,112.06
2026-02-10,LINE-A,Morning,1046,1257,0.08,36,79.54,3.44,83.21
2026-02-10,LINE-A,Afternoon,1139,1151,2.03,39,71.33,3.42,98.96
2026-02-10,LINE-A,Night,1179,1032,1.37,47,90.9,3.99,114.24
2026-02-10,LINE-B,Morning,900,1267,1.16,37,58.23,4.11,71.03
2026-02-10,LINE-B,Afternoon,967,1042,0.59,17,84.44,1.76,92.8
2026-02-10,LINE-B,Night,811,1094,1.13,39,60.6,4.81,74.13
2026-02-10,LINE-C,Morning,1014,1089,0.96,30,79.51,2.96,93.11
2026-02-10,LINE-C,Afternoon,889,1114,0.85,8,70.68,0.9,79.8
2026-02-10,LINE-C,Night,1113,1113,1.89,33,74.12,2.96,100.0
2026-02-10,LINE-D,Morning,1175,1216,2.41,40,65.23,3.4,96.63
2026-02-10,LINE-D,Afternoon,1193,1191,1.73,39,75.95,3.27,100.17
2026-02-10,LINE-D,Night,835,1095,1.02,36,63.67,4.31,76.26
2026-02-11,LINE-A,Morning,836,1267,1.29,17,54.22,2.03,65.98
2026-02-11,LINE-A,Afternoon,1078,1216,0.71,34,78.23,3.15,88.65
2026-02-11,LINE-A,Night,1072,1061,1.49,29,80.0,2.71,101.04
2026-02-11,LINE-B,Morning,1141,1186,0.3,40,89.35,3.51,96.21
2026-02-11,LINE-B,Afternoon,1195,1232,2.54,13,65.48,1.09,97.0
2026-02-11,LINE-B,Night,1083,1205,2.03,23,65.66,2.12,89.88
2026-02-11,LINE-C,Morning,1166,1143,1.35,39,81.96,3.34,102.01
2026-02-11,LINE-C,Afternoon,1195,1024,1.66,25,90.55,2.09,116.7
2026-02-11,LINE-C,Night,852,1150,2.34,43,49.77,5.05,74.09
2026-02-11,LINE-D,Morning,908,1180,1.48,43,59.74,4.74,76.95
2026-02-11,LINE-D,Afternoon,1197,1222,0.17,39,92.75,3.26,97.95
2026-02-11,LINE-D,Night,1014,1220,1.05,22,70.64,2.17,83.11
2026-02-12,LINE-A,Morning,1038,1075,2.06,48,68.38,4.62,96.56
2026-02-12,LINE-A,Afternoon,1052,1229,0.25,17,81.59,1.62,85.6
2026-02-12,LINE-A,Night,967,1169,1.19,31,68.15,3.21,82.72
2026-02-12,LINE-B,Morning,921,1193,0.24,41,71.55,4.45,77.2
2026-02-12,LINE-B,Afternoon,1138,1135,1.12,5,85.84,0.44,100.26
2026-02-12,LINE-B,Night,1141,1144,2.84,29,62.7,2.54,99.74
2026-02-12,LINE-C,Morning,1100,1131,1.05,35,81.81,3.18,97.26
2026-02-12,LINE-C,Afternoon,1074,1181,2.12,14,65.97,1.3,90.94
2026-02-12,LINE-C,Night,1145,1018,0.33,7,107.19,0.61,112.48
2026-02-12,LINE-D,Morning,972,1140,1.22,24,70.47,2.47,85.26
2026-02-12,LINE-D,Afternoon,1116,1000,2.04,32,80.76,2.87,111.6
2026-02-12,LINE-D,Night,989,1190,1.43,29,66.25,2.93,83.11
2026-02-13,LINE-A,Morning,1111,1116,2.89,48,60.84,4.32,99.55
2026-02-13,LINE-A,Afternoon,972,1159,1.67,25,64.65,2.57,83.87
2026-02-13,LINE-A,Night,879,1212,2.98,41,43.39,4.66,72.52
2026-02-13,LINE-B,Morning,963,1226,2.09,22,56.71,2.28,78.55
2026-02-13,LINE-B,Afternoon,846,1232,0.65,19,61.67,2.25,68.67
2026-02-13,LINE-B,Night,800,1053,1.75,20,57.86,2.5,75.97
2026-02-13,LINE-C,Morning,811,1223,0.17,42,61.54,5.18,66.31
2026-02-13,LINE-C,Afternoon,955,1007,0.51,40,85.07,4.19,94.84
2026-02-13,LINE-C,Night,889,1135,1.06,32,65.51,3.6,78.33
2026-02-13,LINE-D,Morning,1019,1040,0.78,31,85.74,3.04,97.98
2026-02-13,LINE-D,Afternoon,944,1200,0.93,24,67.76,2.54,78.67
2026-02-13,LINE-D,Night,1019,1239,0.49,39,74.25,3.83,82.24
2026-02-14,LINE-A,Morning,1052,1081,1.25,9,81.41,0.86,97.32
2026-02-14,LINE-A,Afternoon,1102,1009,2.8,49,67.83,4.45,109.22
2026-02-14,LINE-A,Night,804,1118,1.23,5,60.47,0.62,71.91
2026-02-14,LINE-B,Morning,945,1223,2.96,15,47.91,1.59,77.27
2026-02-14,LINE-B,Afternoon,1140,1281,1.14,26,74.57,2.28,88.99
2026-02-14,LINE-B,Night,1114,1282,1.71,37,66.05,3.32,86.9
2026-02-14,LINE-C,Morning,897,1104,1.24,5,68.27,0.56,81.25
2026-02-14,LINE-C,Afternoon,1110,1005,2.08,9,81.07,0.81,110.45
2026-02-14,LINE-C,Night,1150,1132,2.99,27,62.12,2.35,101.59
2026-02-14,LINE-D,Morning,852,1164,2.27,23,51.01,2.7,73.2
2026-02-14,LINE-D,Afternoon,944,1084,1.35,5,72.0,0.53,87.08
2026-02-14,LINE-D,Night,850,1172,1.82,5,55.7,0.59,72.53
2026-02-15,LINE-A,Morning,1168,1287,0.14,35,86.49,3.0,90.75
2026-02-15,LINE-A,Afternoon,871,1038,2.01,38,60.09,4.36,83.91
2026-02-15,LINE-A,Night,917,1258,1.56,16,57.66,1.74,72.89
2026-02-15,LINE-B,Morning,853,1235,1.68,34,52.39,3.99,69.07
2026-02-15,LINE-B,Afternoon,1050,1111,1.44,27,75.51,2.57,94.51
2026-02-15,LINE-B,Night,1006,1228,1.86,6,62.5,0.6,81.92
2026-02-15,LINE-C,Morning,874,1102,0.41,38,71.98,4.35,79.31
2026-02-15,LINE-C,Afternoon,1093,1097,1.91,19,74.53,1.74,99.64
2026-02-15,LINE-C,Night,1146,1248,1.54,28,72.34,2.44,91.83
2026-02-15,LINE-D,Morning,1134,1029,1.87,21,82.87,1.85,110.2
2026-02-15,LINE-D,Afternoon,932,1284,0.44,21,67.05,2.25,72.59
2026-02-15,LINE-D,Night,1129,1272,0.77,28,78.23,2.48,88.76
2026-02-16,LINE-A,Morning,868,1033,1.86,6,64.05,0.69,84.03
2026-02-16,LINE-A,Afternoon,1004,1125,1.9,15,67.03,1.49,89.24
2026-02-16,LINE-A,Night,1170,1110,0.39,20,98.55,1.71,105.41
2026-02-16,LINE-B,Morning,894,1007,0.54,8,82.05,0.89,88.78
2026-02-16,LINE-B,Afternoon,983,1280,2.69,7,50.62,0.71,76.8
2026-02-16,LINE-B,Night,954,1092,2.92,23,54.14,2.41,87.36
2026-02-16,LINE-C,Morning,1076,1004,1.04,46,89.25,4.28,107.17
2026-02-16,LINE-C,Afternoon,1116,1021,0.27,5,105.13,0.45,109.3
2026-02-16,LINE-C,Night,932,1232,1.07,38,62.85,4.08,75.65
2026-02-16,LINE-D,Morning,877,1217,2.07,13,52.62,1.48,72.06
2026-02-16,LINE-D,Afternoon,1081,1248,1.44,26,69.32,2.41,86.62
2026-02-16,LINE-D,Night,1038,1055,2.62,21,64.83,2.02,98.39
2026-02-17,LINE-A,Morning,825,1291,2.42,39,42.46,4.73,63.9
2026-02-17,LINE-A,Afternoon,1052,1179,0.63,26,80.17,2.47,89.23
2026-02-17,LINE-A,Night,813,1027,1.11,28,65.83,3.44,79.16
2026-02-17,LINE-B,Morning,1185,1153,0.11,11,100.42,0.93,102.78
2026-02-17,LINE-B,Afternoon,802,1110,2.53,47,46.51,5.86,72.25
2026-02-17,LINE-B,Night,1038,1273,1.34,39,65.33,3.76,81.54
2026-02-17,LINE-C,Morning,1170,1014,0.31,41,107.02,3.5,115.38
2026-02-17,LINE-C,Afternoon,827,1201,1.69,21,52.94,2.54,68.86
2026-02-17,LINE-C,Night,1030,1085,0.98,48,79.42,4.66,94.93
2026-02-17,LINE-D,Morning,824,1144,1.03,29,60.54,3.52,72.03
2026-02-17,LINE-D,Afternoon,867,1066,1.95,22,59.94,2.54,81.33
2026-02-17,LINE-D,Night,910,1227,1.61,38,56.76,4.18,74.16
2026-02-18,LINE-A,Morning,910,1263,1.76,48,53.24,5.27,72.05
2026-02-18,LINE-A,Afternoon,882,1041,0.85,10,74.88,1.13,84.73
2026-02-18,LINE-A,Night,979,1281,1.82,49,56.08,5.01,76.42
2026-02-18,LINE-B,Morning,1028,1288,0.02,25,77.68,2.43,79.81
2026-02-18,LINE-B,Afternoon,997,1069,0.74,8,83.96,0.8,93.26
2026-02-18,LINE-B,Night,1149,1094,0.17,13,101.64,1.13,105.03
2026-02-18,LINE-C,Morning,1046,1242,0.05,41,80.42,3.92,84.22
2026-02-18,LINE-C,Afternoon,835,1222,2.69,24,44.06,2.87,68.33
2026-02-18,LINE-C,Night,1019,1074,2.6,10,63.42,0.98,94.88
2026-02-18,LINE-D,Morning,917,1093,0.51,6,78.04,0.65,83.9
2026-02-18,LINE-D,Afternoon,1134,1202,1.71,49,70.97,4.32,94.34
2026-02-18,LINE-D,Night,1099,1132,0.56,8,89.63,0.73,97.08
2026-02-19,LINE-A,Morning,1074,1211,1.52,16,70.77,1.49,88.69
2026-02-19,LINE-A,Afternoon,846,1000,1.83,42,62.01,4.96,84.6
2026-02-19,LINE-A,Night,1092,1138,2.8,17,61.4,1.56,95.96
2026-02-19,LINE-B,Morning,1058,1160,1.11,14,77.51,1.32,91.21
2026-02-19,LINE-B,Afternoon,1060,1137,2.97,17,57.68,1.6,93.23
2026-02-19,LINE-B,Night,967,1129,0.26,41,79.35,4.24,85.65
2026-02-19,LINE-C,Morning,1128,1272,0.35,19,83.37,1.68,88.68
2026-02-19,LINE-C,Afternoon,837,1093,0.32,9,72.72,1.08,76.58
2026-02-19,LINE-C,Night,1117,1235,1.23,15,75.51,1.34,90.45
2026-02-19,LINE-D,Morning,936,1075,1.14,5,74.27,0.53,87.07
2026-02-19,LINE-D,Afternoon,1095,1059,2.53,12,69.93,1.1,103.4
2026-02-19,LINE-D,Night,1066,1228,0.6,34,77.74,3.19,86.81
2026-02-20,LINE-A,Morning,1090,1212,0.56,23,81.87,2.11,89.93
2026-02-20,LINE-A,Afternoon,1178,1077,1.57,8,87.32,0.68,109.38
2026-02-20,LINE-A,Night,888,1236,1.76,22,54.65,2.48,71.84
2026-02-20,LINE-B,Morning,1095,1294,2.14,36,59.94,3.29,84.62
2026-02-20,LINE-B,Afternoon,978,1124,0.9,27,75.09,2.76,87.01
2026-02-20,LINE-B,Night,862,1142,1.73,21,57.72,2.44,75.48
2026-02-20,LINE-C,Morning,1024,1103,0.69,43,81.27,4.2,92.84
2026-02-20,LINE-C,Afternoon,997,1133,1.0,12,76.08,1.2,88.0
2026-02-20,LINE-C,Night,841,1014,2.64,37,53.12,4.4,82.94
2026-02-20,LINE-D,Morning,1030,1156,0.46,37,80.96,3.59,89.1
2026-02-20,LINE-D,Afternoon,1088,1253,0.61,6,79.77,0.55,86.83
2026-02-20,LINE-D,Night,809,1004,2.63,37,51.61,4.57,80.58
2026-02-21,LINE-A,Morning,917,1293,1.61,40,54.18,4.36,70.92
2026-02-21,LINE-A,Afternoon,1164,1215,1.81,19,72.92,1.63,95.8
2026-02-21,LINE-A,Night,956,1135,0.45,8,78.83,0.84,84.23
2026-02-21,LINE-B,Morning,1131,1172,2.16,35,68.27,3.09,96.5
2026-02-21,LINE-B,Afternoon,914,1242,1.7,30,56.05,3.28,73.59
2026-02-21,LINE-B,Night,1098,1282,1.04,15,73.49,1.37,85.65
2026-02-21,LINE-C,Morning,1053,1037,0.68,27,90.53,2.56,101.54
2026-02-21,LINE-C,Afternoon,1102,1217,1.76,22,69.22,2.0,90.55
2026-02-21,LINE-C,Night,910,1103,2.62,16,54.5,1.76,82.5
2026-02-21,LINE-D,Morning,1155,1132,2.77,12,66.01,1.04,102.03
2026-02-21,LINE-D,Afternoon,926,1105,2.31,35,57.35,3.78,83.8
2026-02-21,LINE-D,Night,1177,1050,2.21,44,78.1,3.74,112.1
2026-02-22,LINE-A,Morning,1096,1213,2.73,5,59.25,0.46,90.35
2026-02-22,LINE-A,Afternoon,1101,1100,2.95,40,60.88,3.63,100.09
2026-02-22,LINE-A,Night,981,1000,2.61,44,63.13,4.49,98.1
2026-02-22,LINE-B,Morning,1198,1148,1.14,13,88.51,1.09,104.36
2026-02-22,LINE-B,Afternoon,1001,1116,1.81,39,66.7,3.9,89.7
2026-02-22,LINE-B,Night,862,1243,1.61,15,54.43,1.74,69.35
2026-02-22,LINE-C,Morning,1093,1209,1.44,31,72.03,2.84,90.41
2026-02-22,LINE-C,Afternoon,816,1127,0.67,48,62.43,5.88,72.4
2026-02-22,LINE-C,Night,1050,1178,0.74,29,78.65,2.76,89.13
2026-02-22,LINE-D,Morning,979,1197,0.1,37,77.71,3.78,81.79
2026-02-22,LINE-D,Afternoon,976,1284,1.74,26,57.9,2.66,76.01
2026-02-22,LINE-D,Night,953,1155,0.64,11,75.04,1.15,82.51
2026-02-23,LINE-A,Morning,1136,1083,1.38,24,84.97,2.11,104.89
2026-02-23,LINE-A,Afternoon,917,1062,2.99,11,53.42,1.2,86.35
2026-02-23,LINE-A,Night,1056,1223,0.2,27,82.04,2.56,86.35
2026-02-23,LINE-B,Morning,1178,1210,1.05,34,82.14,2.89,97.36
2026-02-23,LINE-B,Afternoon,1084,1285,2.51,23,56.66,2.12,84.36
2026-02-23,LINE-B,Night,817,1256,2.33,6,45.77,0.73,65.05
2026-02-23,LINE-C,Morning,912,1113,1.49,8,66.1,0.88,81.94
2026-02-23,LINE-C,Afternoon,1184,1263,2.59,43,61.09,3.63,93.75
2026-02-23,LINE-C,Night,930,1287,0.82,23,63.25,2.47,72.26
2026-02-23,LINE-D,Morning,1165,1161,1.23,27,82.94,2.32,100.34
2026-02-23,LINE-D,Afternoon,854,1287,2.15,33,46.65,3.86,66.36
2026-02-23,LINE-D,Night,807,1246,0.76,27,56.65,3.35,64.77
2026-02-24,LINE-A,Morning,1054,1053,1.02,41,83.93,3.89,100.09
2026-02-24,LINE-A,Afternoon,866,1050,1.96,12,61.41,1.39,82.48
2026-02-24,LINE-A,Night,1090,1095,2.97,36,60.52,3.3,99.54
2026-02-24,LINE-B,Morning,919,1164,0.42,18,73.34,1.96,78.95
2026-02-24,LINE-B,Afternoon,1022,1006,1.9,37,74.66,3.62,101.59
2026-02-24,LINE-B,Night,950,1084,0.08,23,84.66,2.42,87.64
2026-02-24,LINE-C,Morning,835,1284,1.26,6,54.39,0.72,65.03
2026-02-24,LINE-C,Afternoon,1184,1196,1.03,46,82.89,3.89,99.0
2026-02-24,LINE-C,Night,1185,1194,1.77,16,76.25,1.35,99.25
2026-02-24,LINE-D,Morning,819,1260,1.04,34,54.2,4.15,65.0
2026-02-24,LINE-D,Afternoon,1192,1225,2.58,39,63.77,3.27,97.31
2026-02-24,LINE-D,Night,1141,1279,0.34,34,82.87,2.98,89.21
2026-02-25,LINE-A,Morning,919,1058,2.68,36,55.5,3.92,86.86
2026-02-25,LINE-A,Afternoon,1008,1114,1.54,13,72.12,1.29,90.48
2026-02-25,LINE-A,Night,839,1236,1.21,13,56.72,1.55,67.88
2026-02-25,LINE-B,Morning,1045,1277,2.5,8,55.82,0.77,81.83
2026-02-25,LINE-B,Afternoon,953,1028,0.52,27,84.22,2.83,92.7
2026-02-25,LINE-B,Night,1092,1074,2.47,25,68.67,2.29,101.68
2026-02-25,LINE-C,Morning,841,1040,0.82,21,70.77,2.5,80.87
2026-02-25,LINE-C,Afternoon,964,1152,1.49,16,66.97,1.66,83.68
2026-02-25,LINE-C,Night,886,1116,0.03,25,76.86,2.82,79.39
2026-02-25,LINE-D,Morning,826,1286,2.62,44,40.89,5.33,64.23
2026-02-25,LINE-D,Afternoon,897,1267,1.9,11,53.32,1.23,70.8
2026-02-25,LINE-D,Night,1193,1172,2.51,25,68.38,2.1,101.79
2026-02-26,LINE-A,Morning,989,1121,1.27,6,73.76,0.61,88.22
2026-02-26,LINE-A,Afternoon,1109,1192,0.25,40,86.88,3.61,93.04
2026-02-26,LINE-A,Night,1170,1281,0.2,15,87.91,1.28,91.33
2026-02-26,LINE-B,Morning,1095,1010,1.07,43,90.22,3.93,108.42
2026-02-26,LINE-B,Afternoon,1031,1226,2.85,28,52.66,2.72,84.09
2026-02-26,LINE-B,Night,1045,1068,1.45,40,77.05,3.83,97.85
2026-02-26,LINE-C,Morning,1038,1147,0.49,47,81.11,4.53,90.5
2026-02-26,LINE-C,Afternoon,1136,1200,2.31,13,66.56,1.14,94.67
2026-02-26,LINE-C,Night,1000,1295,2.18,29,54.55,2.9,77.22
2026-02-26,LINE-D,Morning,860,1103,1.3,43,62.03,5.0,77.97
2026-02-26,LINE-D,Afternoon,1090,1130,0.23,48,89.56,4.4,96.46
2026-02-26,LINE-D,Night,971,1101,1.77,23,67.05,2.37,88.19
2026-02-27,LINE-A,Morning,900,1043,2.42,21,58.78,2.33,86.29
2026-02-27,LINE-A,Afternoon,1129,1056,1.34,16,87.74,1.42,106.91
2026-02-27,LINE-A,Night,1117,1079,2.62,12,68.87,1.07,103.52
2026-02-27,LINE-B,Morning,948,1080,1.98,20,64.66,2.11,87.78
2026-02-27,LINE-B,Afternoon,997,1199,0.75,29,73.16,2.91,83.15
2026-02-27,LINE-B,Night,1067,1142,2.08,45,66.22,4.22,93.43
2026-02-27,LINE-C,Morning,1164,1025,0.12,14,110.51,1.2,113.56
2026-02-27,LINE-C,Afternoon,815,1198,3.0,30,40.95,3.68,68.03
2026-02-27,LINE-C,Night,885,1249,0.94,19,61.19,2.15,70.86
2026-02-27,LINE-D,Morning,916,1006,0.89,12,79.87,1.31,91.05
2026-02-27,LINE-D,Afternoon,1114,1214,2.39,35,62.32,3.14,91.76
2026-02-27,LINE-D,Night,1171,1102,0.11,35,101.66,2.99,106.26
2026-02-28,LINE-A,Morning,951,1107,0.36,38,78.76,4.0,85.91
2026-02-28,LINE-A,Afternoon,930,1292,1.59,30,55.81,3.23,71.98
2026-02-28,LINE-A,Night,982,1038,0.95,8,82.7,0.81,94.61
2026-02-28,LINE-B,Morning,1148,1209,1.56,49,73.17,4.27,94.95
2026-02-28,LINE-B,Afternoon,907,1226,2.61,34,47.98,3.75,73.98
2026-02-28,LINE-B,Night,1050,1246,0.56,22,76.73,2.1,84.27
2026-02-28,LINE-C,Morning,895,1226,0.21,33,68.46,3.69,73.0
2026-02-28,LINE-C,Afternoon,1117,1244,1.44,20,72.31,1.79,89.79
2026-02-28,LINE-C,Night,1035,1238,1.19,34,68.82,3.29,83.6
2026-02-28,LINE-D,Morning,1158,1064,0.72,7,98.44,0.6,108.83
2026-02-28,LINE-D,Afternoon,941,1157,2.56,22,54.01,2.34,81.33
2026-02-28,LINE-D,Night,1092,1152,0.83,19,83.47,1.74,94.79
2026-03-01,LINE-A,Morning,872,1139,2.87,41,46.78,4.7,76.56
2026-03-01,LINE-A,Afternoon,860,1197,2.95,28,43.87,3.26,71.85
